dataset,classifier,pixel_index,row,col,n_selected_by_model
Half-Flipped,lda,2,0,2,306
Half-Flipped,lda,4,0,4,306
Half-Flipped,lda,55,0,55,306
Half-Flipped,lda,58,0,58,306
Half-Flipped,lda,63,0,63,306
Half-Flipped,lda,118,1,54,306
Half-Flipped,lda,121,1,57,306
Half-Flipped,lda,130,2,2,306
Half-Flipped,lda,184,2,56,306
Half-Flipped,lda,192,3,0,306
Half-Flipped,lda,246,3,54,306
Half-Flipped,lda,248,3,56,306
Half-Flipped,lda,253,3,61,306
Half-Flipped,lda,259,4,3,306
Half-Flipped,lda,321,5,1,306
Half-Flipped,lda,379,5,59,306
Half-Flipped,lda,380,5,60,306
Half-Flipped,lda,439,6,55,306
Half-Flipped,lda,440,6,56,306
Half-Flipped,lda,444,6,60,306
Half-Flipped,lda,526,8,14,306
Half-Flipped,lda,527,8,15,306
Half-Flipped,lda,530,8,18,306
Half-Flipped,lda,569,8,57,306
Half-Flipped,lda,620,9,44,306
Half-Flipped,lda,634,9,58,306
Half-Flipped,lda,636,9,60,306
Half-Flipped,lda,640,10,0,306
Half-Flipped,lda,653,10,13,306
Half-Flipped,lda,658,10,18,306
Half-Flipped,lda,659,10,19,306
Half-Flipped,lda,686,10,46,306
Half-Flipped,lda,701,10,61,306
Half-Flipped,lda,702,10,62,306
Half-Flipped,lda,704,11,0,306
Half-Flipped,lda,716,11,12,306
Half-Flipped,lda,720,11,16,306
Half-Flipped,lda,768,12,0,306
Half-Flipped,lda,781,12,13,306
Half-Flipped,lda,784,12,16,306
Half-Flipped,lda,814,12,46,306
Half-Flipped,lda,826,12,58,306
Half-Flipped,lda,843,13,11,306
Half-Flipped,lda,877,13,45,306
Half-Flipped,lda,881,13,49,306
Half-Flipped,lda,892,13,60,306
Half-Flipped,lda,893,13,61,306
Half-Flipped,lda,907,14,11,306
Half-Flipped,lda,911,14,15,306
Half-Flipped,lda,912,14,16,306
Half-Flipped,lda,944,14,48,306
Half-Flipped,lda,973,15,13,306
Half-Flipped,lda,1008,15,48,306
Half-Flipped,lda,1033,16,9,306
Half-Flipped,lda,1036,16,12,306
Half-Flipped,lda,1037,16,13,306
Half-Flipped,lda,1040,16,16,306
Half-Flipped,lda,1056,16,32,306
Half-Flipped,lda,1069,16,45,306
Half-Flipped,lda,1070,16,46,306
Half-Flipped,lda,1075,16,51,306
Half-Flipped,lda,1102,17,14,306
Half-Flipped,lda,1114,17,26,306
Half-Flipped,lda,1118,17,30,306
Half-Flipped,lda,1119,17,31,306
Half-Flipped,lda,1127,17,39,306
Half-Flipped,lda,1133,17,45,306
Half-Flipped,lda,1135,17,47,306
Half-Flipped,lda,1136,17,48,306
Half-Flipped,lda,1150,17,62,306
Half-Flipped,lda,1162,18,10,306
Half-Flipped,lda,1163,18,11,306
Half-Flipped,lda,1165,18,13,306
Half-Flipped,lda,1167,18,15,306
Half-Flipped,lda,1176,18,24,306
Half-Flipped,lda,1178,18,26,306
Half-Flipped,lda,1179,18,27,306
Half-Flipped,lda,1180,18,28,306
Half-Flipped,lda,1184,18,32,306
Half-Flipped,lda,1191,18,39,306
Half-Flipped,lda,1199,18,47,306
Half-Flipped,lda,1201,18,49,306
Half-Flipped,lda,1244,19,28,306
Half-Flipped,lda,1256,19,40,306
Half-Flipped,lda,1278,19,62,306
Half-Flipped,lda,1279,19,63,306
Half-Flipped,lda,1288,20,8,306
Half-Flipped,lda,1302,20,22,306
Half-Flipped,lda,1309,20,29,306
Half-Flipped,lda,1311,20,31,306
Half-Flipped,lda,1317,20,37,306
Half-Flipped,lda,1318,20,38,306
Half-Flipped,lda,1320,20,40,306
Half-Flipped,lda,1352,21,8,306
Half-Flipped,lda,1366,21,22,306
Half-Flipped,lda,1369,21,25,306
Half-Flipped,lda,1375,21,31,306
Half-Flipped,lda,1382,21,38,306
Half-Flipped,lda,1383,21,39,306
Half-Flipped,lda,1384,21,40,306
Half-Flipped,lda,1434,22,26,306
Half-Flipped,lda,1436,22,28,306
Half-Flipped,lda,1442,22,34,306
Half-Flipped,lda,1443,22,35,306
