classifier,pixel_index,row,col,n_original_selected,n_flipped_selected,n_overlap
lda,1055,16,31,260,94,15
lda,1175,18,23,260,94,15
lda,1305,20,25,260,94,15
lda,1499,23,27,260,94,15
lda,2201,34,25,260,94,15
lda,2266,35,26,260,94,15
lda,2277,35,37,260,94,15
lda,2278,35,38,260,94,15
lda,2330,36,26,260,94,15
lda,2790,43,38,260,94,15
lda,3085,48,13,260,94,15
lda,3308,51,44,260,94,15
lda,3312,51,48,260,94,15
lda,3538,55,18,260,94,15
lda,3541,55,21,260,94,15
logreg,1055,16,31,72,94,9
logreg,2201,34,25,72,94,9
logreg,2266,35,26,72,94,9
logreg,2277,35,37,72,94,9
logreg,2330,36,26,72,94,9
logreg,3085,48,13,72,94,9
logreg,3086,48,14,72,94,9
logreg,3151,49,15,72,94,9
logreg,3308,51,44,72,94,9
svm,1055,16,31,260,296,32
svm,1068,16,44,260,296,32
svm,1118,17,30,260,296,32
svm,1175,18,23,260,296,32
svm,1178,18,26,260,296,32
svm,1191,18,39,260,296,32
svm,1305,20,25,260,296,32
svm,1317,20,37,260,296,32
svm,1446,22,38,260,296,32
svm,1495,23,23,260,296,32
svm,1499,23,27,260,296,32
svm,1511,23,39,260,296,32
svm,2201,34,25,260,296,32
svm,2213,34,37,260,296,32
svm,2266,35,26,260,296,32
svm,2267,35,27,260,296,32
svm,2277,35,37,260,296,32
svm,2278,35,38,260,296,32
svm,2330,36,26,260,296,32
svm,2395,37,27,260,296,32
svm,2719,42,31,260,296,32
svm,2790,43,38,260,296,32
svm,2976,46,32,260,296,32
svm,3104,48,32,260,296,32
svm,3184,49,48,260,296,32
svm,3308,51,44,260,296,32
svm,3312,51,48,260,296,32
svm,3343,52,15,260,296,32
svm,3345,52,17,260,296,32
svm,3406,53,14,260,296,32
svm,3538,55,18,260,296,32
svm,3541,55,21,260,296,32
