dataset,classifier,param_filter__k,param_lasso__estimator__C,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,is_best,final_test_accuracy,param_svm__C,param_svm__kernel
Half-Flipped,lda,1000,0.1,0.6373333333333333,0.6286666666666667,0.6093333333333333,0.6453333333333333,0.648,0.6337333333333334,0.013943377559894813,1,True,0.636,,
Half-Flipped,lda,1000,0.01,0.6266666666666667,0.6206666666666667,0.6386666666666667,0.6366666666666667,0.6266666666666667,0.6298666666666668,0.006764613810115111,2,False,,,
Half-Flipped,lda,1000,10.0,0.6006666666666667,0.604,0.6013333333333334,0.602,0.616,0.6048,0.005710030161430352,3,False,,,
Half-Flipped,lda,1000,1.0,0.6013333333333334,0.596,0.6093333333333333,0.6006666666666667,0.6106666666666667,0.6035999999999999,0.0055553777749332385,4,False,,,
Half-Flipped,logreg,1000,0.1,0.634,0.628,0.616,0.644,0.6446666666666667,0.6333333333333334,0.010691637438255725,1,True,0.6388,,
Half-Flipped,logreg,1000,0.01,0.6273333333333333,0.62,0.6386666666666667,0.6373333333333333,0.6246666666666667,0.6296,0.007261466028901392,2,False,,,
Half-Flipped,logreg,1000,1.0,0.6006666666666667,0.596,0.61,0.6013333333333334,0.6106666666666667,0.6037333333333332,0.005697562831792403,3,False,,,
Half-Flipped,logreg,1000,10.0,0.596,0.6013333333333334,0.5986666666666667,0.6026666666666667,0.6086666666666667,0.6014666666666667,0.00426666666666668,4,False,,,
Half-Flipped,svm,1000,0.1,0.8193333333333334,0.8133333333333334,0.8013333333333333,0.8133333333333334,0.8113333333333334,0.8117333333333334,0.005851495535331123,1,True,0.8092,10.0,rbf
Half-Flipped,svm,1000,1.0,0.8113333333333334,0.8013333333333333,0.798,0.8053333333333333,0.7966666666666666,0.8025333333333334,0.005323323940713908,2,False,,10.0,rbf
Half-Flipped,svm,1000,10.0,0.8066666666666666,0.7986666666666666,0.7973333333333333,0.8033333333333333,0.792,0.7996000000000001,0.005052612085732362,3,False,,10.0,rbf
Half-Flipped,svm,1000,0.01,0.768,0.7653333333333333,0.776,0.754,0.7553333333333333,0.7637333333333333,0.008204064033554765,4,False,,10.0,rbf
Original,lda,1000,0.01,0.7873333333333333,0.792,0.7893333333333333,0.7853333333333333,0.768,0.7844000000000001,0.008491564441648352,1,True,0.7796,,
Original,lda,1000,0.1,0.7866666666666666,0.7773333333333333,0.7986666666666666,0.774,0.7813333333333333,0.7836000000000001,0.008636871861707529,2,False,,,
Original,lda,1000,1.0,0.7693333333333333,0.7753333333333333,0.7666666666666667,0.7413333333333333,0.76,0.7625333333333334,0.011687790400432614,3,False,,,
Original,lda,1000,10.0,0.756,0.7646666666666667,0.774,0.7426666666666667,0.758,0.7590666666666667,0.010333118277332035,4,False,,,
Original,logreg,1000,0.01,0.786,0.7886666666666666,0.7893333333333333,0.7873333333333333,0.774,0.7850666666666666,0.0056505653601112114,1,True,0.7772,,
Original,logreg,1000,0.1,0.7846666666666666,0.786,0.7993333333333333,0.7633333333333333,0.784,0.7834666666666668,0.011534682002070503,2,False,,,
Original,logreg,1000,1.0,0.7586666666666667,0.766,0.7686666666666667,0.7366666666666667,0.752,0.7564,0.011458912106594884,3,False,,,
Original,logreg,1000,10.0,0.758,0.764,0.764,0.73,0.7526666666666667,0.7537333333333334,0.012597001406860472,4,False,,,
Original,svm,1000,0.1,0.888,0.8893333333333333,0.8833333333333333,0.884,0.888,0.8865333333333334,0.0024000000000000033,1,True,0.8956,10.0,rbf
Original,svm,1000,1.0,0.8973333333333333,0.8766666666666667,0.8886666666666667,0.882,0.8873333333333333,0.8864000000000001,0.006923069325731809,2,False,,10.0,rbf
Original,svm,1000,10.0,0.8986666666666666,0.876,0.8846666666666667,0.88,0.884,0.8846666666666667,0.007659416862050685,3,False,,10.0,rbf
Original,svm,1000,0.01,0.8533333333333334,0.8526666666666667,0.8486666666666667,0.8473333333333334,0.8386666666666667,0.8481333333333334,0.005256107558513884,4,False,,10.0,rbf
