dataset,classifier,pixel_index,row,col,n_selected_by_model
Half-Flipped,lda,0,0,0,85
Half-Flipped,lda,63,0,63,85
Half-Flipped,lda,128,2,0,85
Half-Flipped,lda,577,9,1,85
Half-Flipped,lda,640,10,0,85
Half-Flipped,lda,702,10,62,85
Half-Flipped,lda,719,11,15,85
Half-Flipped,lda,781,12,13,85
Half-Flipped,lda,782,12,14,85
Half-Flipped,lda,812,12,44,85
Half-Flipped,lda,815,12,47,85
Half-Flipped,lda,911,14,15,85
Half-Flipped,lda,912,14,16,85
Half-Flipped,lda,942,14,46,85
Half-Flipped,lda,943,14,47,85
Half-Flipped,lda,973,15,13,85
Half-Flipped,lda,975,15,15,85
Half-Flipped,lda,1039,16,15,85
Half-Flipped,lda,1072,16,48,85
Half-Flipped,lda,1119,17,31,85
Half-Flipped,lda,1120,17,32,85
Half-Flipped,lda,1226,19,10,85
Half-Flipped,lda,1305,20,25,85
Half-Flipped,lda,1318,20,38,85
Half-Flipped,lda,1562,24,26,85
Half-Flipped,lda,1637,25,37,85
Half-Flipped,lda,1690,26,26,85
Half-Flipped,lda,1701,26,37,85
Half-Flipped,lda,1754,27,26,85
Half-Flipped,lda,1817,28,25,85
Half-Flipped,lda,1818,28,26,85
Half-Flipped,lda,1829,28,37,85
Half-Flipped,lda,1893,29,37,85
Half-Flipped,lda,1983,30,63,85
Half-Flipped,lda,2004,31,20,85
Half-Flipped,lda,2132,33,20,85
Half-Flipped,lda,2154,33,42,85
Half-Flipped,lda,2157,33,45,85
Half-Flipped,lda,2195,34,19,85
Half-Flipped,lda,2196,34,20,85
Half-Flipped,lda,2218,34,42,85
Half-Flipped,lda,2220,34,44,85
Half-Flipped,lda,2277,35,37,85
Half-Flipped,lda,2330,36,26,85
Half-Flipped,lda,2394,37,26,85
Half-Flipped,lda,2469,38,37,85
Half-Flipped,lda,2533,39,37,85
Half-Flipped,lda,2597,40,37,85
Half-Flipped,lda,2650,41,26,85
Half-Flipped,lda,2660,41,36,85
Half-Flipped,lda,2778,43,26,85
Half-Flipped,lda,2789,43,37,85
Half-Flipped,lda,2904,45,24,85
Half-Flipped,lda,2959,46,15,85
Half-Flipped,lda,2990,46,46,85
Half-Flipped,lda,3017,47,9,85
Half-Flipped,lda,3021,47,13,85
Half-Flipped,lda,3038,47,30,85
Half-Flipped,lda,3057,47,49,85
Half-Flipped,lda,3085,48,13,85
Half-Flipped,lda,3118,48,46,85
Half-Flipped,lda,3120,48,48,85
Half-Flipped,lda,3121,48,49,85
Half-Flipped,lda,3123,48,51,85
Half-Flipped,lda,3124,48,52,85
Half-Flipped,lda,3310,51,46,85
Half-Flipped,lda,3328,52,0,85
Half-Flipped,lda,3371,52,43,85
Half-Flipped,lda,3374,52,46,85
Half-Flipped,lda,3375,52,47,85
Half-Flipped,lda,3392,53,0,85
Half-Flipped,lda,3454,53,62,85
Half-Flipped,lda,3472,54,16,85
Half-Flipped,lda,3500,54,44,85
Half-Flipped,lda,3519,54,63,85
Half-Flipped,lda,3541,55,21,85
Half-Flipped,lda,3564,55,44,85
Half-Flipped,lda,3600,56,16,85
Half-Flipped,lda,3604,56,20,85
Half-Flipped,lda,3625,56,41,85
Half-Flipped,lda,3772,58,60,85
Half-Flipped,lda,3776,59,0,85
Half-Flipped,lda,3962,61,58,85
Half-Flipped,lda,3963,61,59,85
Half-Flipped,lda,4031,62,63,85
Half-Flipped,logreg,0,0,0,85
Half-Flipped,logreg,63,0,63,85
Half-Flipped,logreg,128,2,0,85
Half-Flipped,logreg,577,9,1,85
Half-Flipped,logreg,640,10,0,85
Half-Flipped,logreg,702,10,62,85
Half-Flipped,logreg,719,11,15,85
Half-Flipped,logreg,781,12,13,85
Half-Flipped,logreg,782,12,14,85
Half-Flipped,logreg,812,12,44,85
Half-Flipped,logreg,815,12,47,85
Half-Flipped,logreg,911,14,15,85
Half-Flipped,logreg,912,14,16,85
Half-Flipped,logreg,942,14,46,85
Half-Flipped,logreg,943,14,47,85
Half-Flipped,logreg,973,15,13,85
Half-Flipped,logreg,975,15,15,85
Half-Flipped,logreg,1039,16,15,85
Half-Flipped,logreg,1072,16,48,85
Half-Flipped,logreg,1119,17,31,85
Half-Flipped,logreg,1120,17,32,85
Half-Flipped,logreg,1226,19,10,85
Half-Flipped,logreg,1305,20,25,85
Half-Flipped,logreg,1318,20,38,85
Half-Flipped,logreg,1562,24,26,85
Half-Flipped,logreg,1637,25,37,85
Half-Flipped,logreg,1690,26,26,85
Half-Flipped,logreg,1701,26,37,85
Half-Flipped,logreg,1754,27,26,85
Half-Flipped,logreg,1817,28,25,85
Half-Flipped,logreg,1818,28,26,85
Half-Flipped,logreg,1829,28,37,85
Half-Flipped,logreg,1893,29,37,85
Half-Flipped,logreg,1983,30,63,85
Half-Flipped,logreg,2004,31,20,85
Half-Flipped,logreg,2132,33,20,85
Half-Flipped,logreg,2154,33,42,85
Half-Flipped,logreg,2157,33,45,85
Half-Flipped,logreg,2195,34,19,85
Half-Flipped,logreg,2196,34,20,85
Half-Flipped,logreg,2218,34,42,85
Half-Flipped,logreg,2220,34,44,85
Half-Flipped,logreg,2277,35,37,85
Half-Flipped,logreg,2330,36,26,85
Half-Flipped,logreg,2394,37,26,85
Half-Flipped,logreg,2469,38,37,85
Half-Flipped,logreg,2533,39,37,85
Half-Flipped,logreg,2597,40,37,85
Half-Flipped,logreg,2650,41,26,85
Half-Flipped,logreg,2660,41,36,85
Half-Flipped,logreg,2778,43,26,85
Half-Flipped,logreg,2789,43,37,85
Half-Flipped,logreg,2904,45,24,85
Half-Flipped,logreg,2959,46,15,85
Half-Flipped,logreg,2990,46,46,85
Half-Flipped,logreg,3017,47,9,85
Half-Flipped,logreg,3021,47,13,85
Half-Flipped,logreg,3038,47,30,85
Half-Flipped,logreg,3057,47,49,85
Half-Flipped,logreg,3085,48,13,85
Half-Flipped,logreg,3118,48,46,85
Half-Flipped,logreg,3120,48,48,85
Half-Flipped,logreg,3121,48,49,85
Half-Flipped,logreg,3123,48,51,85
Half-Flipped,logreg,3124,48,52,85
Half-Flipped,logreg,3310,51,46,85
Half-Flipped,logreg,3328,52,0,85
Half-Flipped,logreg,3371,52,43,85
Half-Flipped,logreg,3374,52,46,85
Half-Flipped,logreg,3375,52,47,85
Half-Flipped,logreg,3392,53,0,85
Half-Flipped,logreg,3454,53,62,85
Half-Flipped,logreg,3472,54,16,85
Half-Flipped,logreg,3500,54,44,85
Half-Flipped,logreg,3519,54,63,85
Half-Flipped,logreg,3541,55,21,85
Half-Flipped,logreg,3564,55,44,85
Half-Flipped,logreg,3600,56,16,85
Half-Flipped,logreg,3604,56,20,85
Half-Flipped,logreg,3625,56,41,85
Half-Flipped,logreg,3772,58,60,85
Half-Flipped,logreg,3776,59,0,85
Half-Flipped,logreg,3962,61,58,85
Half-Flipped,logreg,3963,61,59,85
Half-Flipped,logreg,4031,62,63,85
Half-Flipped,svm,1,0,1,299
Half-Flipped,svm,2,0,2,299
Half-Flipped,svm,63,0,63,299
Half-Flipped,svm,128,2,0,299
Half-Flipped,svm,186,2,58,299
Half-Flipped,svm,254,3,62,299
Half-Flipped,svm,379,5,59,299
Half-Flipped,svm,380,5,60,299
Half-Flipped,svm,383,5,63,299
Half-Flipped,svm,446,6,62,299
Half-Flipped,svm,447,6,63,299
Half-Flipped,svm,508,7,60,299
Half-Flipped,svm,570,8,58,299
Half-Flipped,svm,572,8,60,299
Half-Flipped,svm,575,8,63,299
Half-Flipped,svm,577,9,1,299
