dataset,classifier,pixel_index,row,col,n_selected_by_model
Half-Flipped,svm_wrapper,121,1,57,150
Half-Flipped,svm_wrapper,126,1,62,150
Half-Flipped,svm_wrapper,127,1,63,150
Half-Flipped,svm_wrapper,185,2,57,150
Half-Flipped,svm_wrapper,190,2,62,150
Half-Flipped,svm_wrapper,252,3,60,150
Half-Flipped,svm_wrapper,253,3,61,150
Half-Flipped,svm_wrapper,254,3,62,150
Half-Flipped,svm_wrapper,313,4,57,150
Half-Flipped,svm_wrapper,314,4,58,150
Half-Flipped,svm_wrapper,316,4,60,150
Half-Flipped,svm_wrapper,317,4,61,150
Half-Flipped,svm_wrapper,318,4,62,150
Half-Flipped,svm_wrapper,377,5,57,150
Half-Flipped,svm_wrapper,381,5,61,150
Half-Flipped,svm_wrapper,382,5,62,150
Half-Flipped,svm_wrapper,442,6,58,150
Half-Flipped,svm_wrapper,444,6,60,150
Half-Flipped,svm_wrapper,445,6,61,150
Half-Flipped,svm_wrapper,446,6,62,150
Half-Flipped,svm_wrapper,506,7,58,150
Half-Flipped,svm_wrapper,509,7,61,150
Half-Flipped,svm_wrapper,510,7,62,150
Half-Flipped,svm_wrapper,570,8,58,150
Half-Flipped,svm_wrapper,571,8,59,150
Half-Flipped,svm_wrapper,572,8,60,150
Half-Flipped,svm_wrapper,573,8,61,150
Half-Flipped,svm_wrapper,574,8,62,150
Half-Flipped,svm_wrapper,634,9,58,150
Half-Flipped,svm_wrapper,635,9,59,150
Half-Flipped,svm_wrapper,636,9,60,150
Half-Flipped,svm_wrapper,638,9,62,150
Half-Flipped,svm_wrapper,700,10,60,150
Half-Flipped,svm_wrapper,702,10,62,150
Half-Flipped,svm_wrapper,703,10,63,150
Half-Flipped,svm_wrapper,765,11,61,150
Half-Flipped,svm_wrapper,766,11,62,150
Half-Flipped,svm_wrapper,767,11,63,150
Half-Flipped,svm_wrapper,829,12,61,150
Half-Flipped,svm_wrapper,973,15,13,150
Half-Flipped,svm_wrapper,1036,16,12,150
Half-Flipped,svm_wrapper,1038,16,14,150
Half-Flipped,svm_wrapper,1070,16,46,150
Half-Flipped,svm_wrapper,1071,16,47,150
